party_id,project_id,party,inventory_year,submission_year,btr_cycle,sector,subsector,activity_title,activity_desc,support_type,exp_timeframe,exp_impact,additional_info
201,6201,Uruguay,2021,2024,BTR 1,Energy,Solar,Policy and Regulation for Solar,Capacity building for developing solar policies.,Mitigation,2025-2026,Streamline renewable energy deployment.,Null
202,6202,Mauritius,2021,2024,BTR 1,Coastal,Coastal Management,Coastal Resilience Planning,Training on integrating climate change into coastal planning.,Adaptation,2024-2025,Enhance climate resilience in coastal zones.,Null
203,6203,Argentina,2021,2024,BTR 1,Agriculture,Sustainable Farming,Climate-Smart Agriculture Training,Training for farmers and extension workers on climate-smart practices.,Adaptation,2025-2027,Improve agricultural resilience.,Null
204,6204,Pakistan,2021,2024,BTR 1,Water,Flood Resilience,Disaster Risk Reduction Training,Training for local and national disaster management authorities.,Adaptation,2024-2026,Strengthen disaster preparedness.,Null
205,6205,Brazil,2021,2024,BTR 1,Forestry,Forest Monitoring,Satellite Forest Monitoring,Training on using satellite data for forest monitoring.,Mitigation,2025-2028,Improve enforcement of anti-deforestation laws.,Null
206,6206,Nigeria,2021,2024,BTR 1,Energy,Off-grid Solutions,Rural Electrification Strategy,Support for developing a national rural electrification strategy.,Mitigation,2024-2026,Increase energy access in off-grid areas.,Null
207,6207,Colombia,2021,2024,BTR 1,Transport,Public Transit,Green Transport Planning,Training for urban planners on low-carbon transport.,Mitigation,2024-2025,Promote sustainable urban mobility.,Null
208,6208,Vietnam,2021,2024,BTR 1,Coastal,Mangrove Restoration,Ecosystem Restoration Management,Training on managing large-scale ecosystem restoration projects.,Adaptation,2025-2028,Enhance resilience of coastal ecosystems.,Null
209,6209,Mexico,2021,2024,BTR 1,Waste,Waste Management,Municipal Waste Management Training,Training for municipal staff on waste segregation and recycling.,Mitigation,2026-2029,Reduce landfill waste and emissions.,Null
210,6210,Indonesia,2021,2024,BTR 1,Energy,Geothermal,Geothermal Project Management,Training for engineers on managing geothermal projects.,Mitigation,2025-2028,Accelerate geothermal project deployment.,Null
211,6211,Peru,2021,2024,BTR 1,Forestry,Forest Management,Sustainable Forest Management,Capacity building for sustainable forest management.,Mitigation,2024-2026,Strengthen forest conservation efforts.,Null
212,6212,Chile,2022,2025,BTR 1,Transport,E-mobility,EV Policy and Regulation,Support for developing national EV policies and regulations.,Mitigation,2025-2027,Promote EV adoption.,Null
213,6213,Ethiopia,2022,2025,BTR 1,Agriculture,Irrigation,Water Management Training,Training for farmers on efficient water management.,Adaptation,2024-2026,Improve food security in arid regions.,Null
214,6214,Kenya,2022,2025,BTR 1,Energy,Geothermal,Geothermal Engineering Skills,Training for engineers on geothermal drilling and plant operation.,Mitigation,2025-2028,Enhance local capacity in geothermal sector.,Null
215,6215,Ghana,2022,2025,BTR 1,Waste,Recycling,Recycling Policy Support,Capacity building for developing national recycling policies.,Mitigation,2026-2029,Improve national recycling rates.,Null
216,6216,South Africa,2022,2025,BTR 1,Energy,Coal phase-out,Just Transition Planning,Support for planning a just transition from coal.,Mitigation,2025-2030,Ensure a socially equitable energy transition.,Null
217,6217,Bangladesh,2022,2025,BTR 1,Water,Flood Resilience,Community-Based Adaptation,Training for communities on local flood preparedness.,Adaptation,2025-2028,Enhance community resilience to floods.,Null
218,6218,Thailand,2022,2025,BTR 1,Energy,Wind,Offshore Wind Development,Training for project managers on developing offshore wind farms.,Mitigation,2024-2025,Facilitate a new offshore wind tender.,Null
219,6219,Philippines,2022,2025,BTR 1,Coastal,Disaster Risk,Disaster Risk Management Training,Training for local officials on disaster management.,Adaptation,2024-2026,Strengthen disaster response capabilities.,Null
220,6220,Ethiopia,2022,2025,BTR 1,Agriculture,Climate-Smart Farming,Climate-Smart Farming Strategy,Support for developing a national climate-smart farming strategy.,Adaptation,2025-2028,Improve food security and resilience.,Null
221,6221,Senegal,2022,2025,BTR 1,Energy,Mini-grids,Mini-grid Business Models,Training on financial and business models for mini-grids.,Mitigation,2025-2027,Attract private investment in rural electrification.,Null
222,6222,Morocco,2022,2025,BTR 1,Transport,Public Transit,Public Transport Planning,Training for urban planners on low-carbon public transport systems.,Mitigation,2024-2026,Promote green transport.,Null
223,6223,Tunisia,2022,2025,BTR 1,Water,Wastewater Treatment,Water Management Training,Capacity building for water utility staff.,Adaptation,2026-2029,Enhance water supply efficiency.,Null
224,6224,Bolivia,2022,2025,BTR 1,Forestry,Agroforestry,Agroforestry Programme Development,Training on developing and implementing agroforestry programmes.,Cross-cutting,2024-2027,Promote sustainable land management.,Null
225,6225,Lebanon,2022,2025,BTR 1,Energy,Solar,Off-Grid Solar Installation,Training for technicians on off-grid solar installation.,Mitigation,2024-2025,Increase national capacity to install solar.,Null
226,6226,Jordan,2022,2025,BTR 1,Water,Water Scarcity,Water Governance,Support for developing water governance and policy.,Adaptation,2025-2026,Improve water security.,Null
227,6227,Costa Rica,2022,2025,BTR 1,Forestry,Forest Protection,Forest Law Enforcement Training,Training for law enforcement on forest protection laws.,Mitigation,2024-2025,Strengthen forest protection.,Null
228,6228,Rwanda,2022,2025,BTR 1,Agriculture,Soil health,Soil Restoration Training,Training on soil restoration and conservation techniques.,Adaptation,2025-2027,Improve crop yields.,Null
229,6229,Uganda,2022,2025,BTR 1,Energy,Off-grid Solutions,Solar Mini-grid Business Models,Training on business models for solar mini-grids.,Mitigation,2024-2026,Attract private investment in solar mini-grids.,Null
230,6230,Zambia,2022,2025,BTR 1,Energy,Solar,Solar Energy Strategy,Support for developing a national solar energy strategy.,Mitigation,2024-2026,Accelerate solar energy deployment.,Null