party_id,project_id,party,inventory_year,submission_year,btr_cycle,title,recipient_entity,description_and_objectives,type_of_support,status_of_measure_or_activity,additional_information
1,5001,Germany,2021,2024,BTR 1,National Adaptation Plan Development,Ministry of Environment,Training and workshops to support the development of a national adaptation plan.,Adaptation,Completed,In partnership with the UNFCCC.
2,5002,Japan,2022,2025,BTR 1,Greenhouse Gas Inventory Training,National Statistics Agency,Training for staff on methodologies and best practices for GHG inventories.,Mitigation,Ongoing,Aimed at improving the quality of national reporting.
3,5003,Finland,2021,2024,BTR 1,Climate Finance Governance Workshop,Ministry of Finance,Workshop to enhance capacity for accessing and managing international climate finance.,Cross-cutting,Completed,Part of a regional climate finance initiative.
4,5004,Sweden,2021,2024,BTR 1,Renewable Energy Policy and Regulation,Ministry of Energy,Technical assistance for developing renewable energy policy frameworks.,Mitigation,Completed,Focused on promoting private investment in renewable energy.
5,5005,Switzerland,2022,2025,BTR 1,Climate Risk Assessment Training for Banking Sector,Central Bank,Training on assessing and disclosing climate-related financial risks.,Adaptation,Ongoing,Collaboration with a private sector financial institution.
6,5006,France,2021,2024,BTR 1,National Low-Carbon Strategy Development,Ministry of Planning,Technical support for designing a national low-carbon development strategy.,Mitigation,Ongoing,A long-term partnership project.
1,5007,Germany,2022,2025,BTR 1,Sustainable Urban Planning Training,City Planning Department,Training on integrating climate resilience into urban planning processes.,Adaptation,Completed,Includes study tours to German cities.
2,5008,Japan,2021,2024,BTR 1,Disaster Risk Reduction and Early Warning,National Disaster Management Agency,Training for officials on operating and maintaining early warning systems.,Adaptation,Completed,Part of a larger bilateral cooperation on disaster management.
3,5009,Finland,2022,2025,BTR 1,Project Proposal Development for GCF,National Designated Authority,Training on developing high-quality project proposals for submission to the Green Climate Fund.,Cross-cutting,Ongoing,Aimed at increasing access to international climate funds.
4,5010,Sweden,2022,2025,BTR 1,Climate-Smart Agriculture Practices,Ministry of Agriculture,Workshops and field training for farmers on climate-resilient farming techniques.,Adaptation,Completed,Collaboration with local farmer cooperatives.
5,5011,Switzerland,2021,2024,BTR 1,National REDD+ Strategy,Department of Forestry,Technical assistance for developing and implementing a national REDD+ strategy.,Mitigation,Ongoing,Supports forest conservation efforts.
6,5012,France,2022,2025,BTR 1,Circular Economy Policy Development,Ministry of Economy,Policy advisory services to develop a national circular economy framework.,Mitigation,Ongoing,Focuses on waste reduction and resource efficiency.
1,5013,Germany,2021,2024,BTR 1,Just Transition Advisory Services,Ministry of Labor,Advisory services to support a just transition for coal-dependent communities.,Mitigation,Completed,In response to a national coal phase-out plan.
2,5014,Japan,2022,2025,BTR 1,Climate Change Data Collection and Analysis,Statistical Bureau,"Training on climate-related data collection, analysis, and reporting.",Cross-cutting,Ongoing,Aims to improve data for evidence-based policy making.
3,5015,Finland,2021,2024,BTR 1,Water Security and Management,Water Resources Agency,Capacity-building on integrated water resource management in a changing climate.,Adaptation,Completed,Supports adaptation to water stress and variability.
4,5016,Sweden,2021,2024,BTR 1,Urban Climate Resilience Planning,City Planning Department,Technical support and training on incorporating climate resilience into city planning.,Adaptation,Ongoing,Focuses on urban infrastructure and ecosystems.
5,5017,Switzerland,2022,2025,BTR 1,Green Bond Market Development,Stock Exchange,Advisory services to support the development of a domestic green bond market.,Mitigation,Completed,Aimed at mobilizing private finance for climate projects.
6,5018,France,2021,2024,BTR 1,National Adaptation Communication (AC),Ministry of Environment,Technical support for preparing the country's first Adaptation Communication.,Adaptation,Completed,In line with Paris Agreement reporting requirements.
1,5019,Germany,2022,2025,BTR 1,Carbon Pricing and Markets Workshop,Ministry of Economy,Training for officials on designing and implementing carbon pricing mechanisms.,Mitigation,Ongoing,Supports the development of a national carbon market.
2,5020,Japan,2021,2024,BTR 1,Climate-Resilient Housing Development,National Housing Authority,Training for engineers and architects on building climate-resilient homes.,Adaptation,Completed,Focuses on storm and flood-prone regions.
3,5021,Finland,2022,2025,BTR 1,Climate-Smart Forestry Planning,Department of Forestry,Training on sustainable forest management and land-use planning.,Cross-cutting,Ongoing,Supports the country's NDC goals for land use.
4,5022,Sweden,2022,2025,BTR 1,Waste Management and Recycling Systems,Municipal Waste Authority,Technical assistance for optimizing municipal waste management and recycling systems.,Mitigation,Ongoing,Aimed at reducing landfill methane emissions.
5,5023,Switzerland,2021,2024,BTR 1,Coastal Ecosystems Restoration Workshop,Ministry of Environment,Workshop on methods and best practices for coastal ecosystem restoration.,Adaptation,Completed,Promotes nature-based solutions.
6,5024,France,2022,2025,BTR 1,Sustainable Fisheries Policy,Fishery Management Authority,Capacity-building for developing and enforcing sustainable fisheries policies.,Cross-cutting,Ongoing,Supports the long-term sustainability of marine resources.
1,5025,Germany,2021,2024,BTR 1,National Climate Change Reporting,Ministry of Foreign Affairs,Training on preparing national reports under the Paris Agreement.,Cross-cutting,Completed,Supports enhanced transparency framework.
2,5026,Japan,2022,2025,BTR 1,Geothermal Project Development Skills,National Energy Company,Training for engineers on the development and operation of geothermal projects.,Mitigation,Ongoing,Aims to expand the use of geothermal energy.
3,5027,Finland,2021,2024,BTR 1,Community-Based Adaptation,Local Governance Forum,Training for local officials on designing and implementing community-based adaptation projects.,Adaptation,Completed,Empowers local communities to address climate risks.
4,5028,Sweden,2021,2024,BTR 1,E-Mobility Policy and Planning,Ministry of Transport,Technical assistance on developing policies for a national electric mobility transition.,Mitigation,Ongoing,Part of a national strategy for transport decarbonization.
5,5029,Switzerland,2022,2025,BTR 1,Climate-Resilient Infrastructure Planning,Ministry of Public Works,Training for government engineers on designing climate-resilient public infrastructure.,Adaptation,Ongoing,Supports the integration of climate risk into infrastructure planning.
6,5030,France,2021,2024,BTR 1,Green Budgeting and Public Expenditure,Ministry of Finance,Technical advisory on integrating climate goals into national budgeting processes.,Cross-cutting,Completed,Promotes a greener fiscal policy.