party_id,project_id,party,inventory_year,submission_year,btr_cycle,sector,subsector,activity_title,activity_desc,support_type,tech_type,exp_timeframe,exp_impact,additional_info
201,6101,Uruguay,2021,2024,BTR 1,Energy,Wind,Wind Power Technology,Technology for blade manufacturing and maintenance.,Mitigation,Advanced turbine tech,2025-2028,Reduce reliance on imports.,Null
202,6102,Mauritius,2021,2024,BTR 1,Coastal,Coastal Management,Climate-Resilient Infrastructure Design,Design technology for resilient coastal infrastructure.,Adaptation,Engineering tech,2024-2026,Protect against sea-level rise.,Null
203,6103,Argentina,2021,2024,BTR 1,Agriculture,Soil Health,Soil Carbon Monitoring Tech,Sensors and software for soil carbon monitoring.,Cross-cutting,Monitoring tech,2025-2027,Improve agricultural sustainability.,Null
204,6104,Pakistan,2021,2024,BTR 1,Water,Flood Early Warning,Satellite-Based Flood Forecasting System,Satellite data and modeling for flood prediction.,Adaptation,Digital tech,2024-2026,Minimize disaster impact.,Null
205,6105,Brazil,2021,2024,BTR 1,Forestry,Forest Monitoring,Deforestation Monitoring,Satellite imagery and AI for real-time deforestation detection.,Mitigation,Digital tech,2025-2028,Enhance forest conservation efforts.,Null
206,6106,Nigeria,2021,2024,BTR 1,Energy,Solar,Solar Panel Production Tech,Technology and know-how for local solar panel production.,Mitigation,Manufacturing tech,2026-2030,Reduce import costs and build local industry.,Null
207,6107,Colombia,2021,2024,BTR 1,Transport,E-mobility,Electric Bus Charging Tech,High-speed charging infrastructure technology.,Mitigation,Infrastructure tech,2024-2026,Support electric bus fleet expansion.,Null
208,6108,Vietnam,2021,2024,BTR 1,Coastal,Mangrove Restoration,Drone-Based Seeding Tech,Drones and technology for large-scale mangrove seeding.,Adaptation,Drone tech,2025-2027,Accelerate coastal restoration.,Null
209,6109,Mexico,2021,2024,BTR 1,Waste,Waste-to-Energy,Waste Management Technology,"Tech for sorting, processing, and converting waste to energy.",Mitigation,Processing tech,2026-2029,Improve urban waste management.,Null
210,6110,Indonesia,2021,2024,BTR 1,Energy,Geothermal,Geothermal Drill-and-Explore Tech,Advanced drilling technology for geothermal exploration.,Mitigation,Exploration tech,2025-2028,Access new geothermal reserves.,Null
211,6111,Peru,2021,2024,BTR 1,Forestry,Forest Monitoring,Remote Sensing for Forest,Remote sensing and GIS technology for forest monitoring.,Mitigation,Digital tech,2024-2026,Improve national forest inventory.,Null
212,6112,Chile,2022,2025,BTR 1,Transport,E-mobility,EV Charging Infrastructure,Design and deployment of fast-charging network.,Mitigation,Infrastructure tech,2025-2027,Promote widespread EV adoption.,Null
213,6113,Ethiopia,2022,2025,BTR 1,Agriculture,Irrigation,Water-Efficient Irrigation,Drip irrigation and smart irrigation systems.,Adaptation,Water tech,2024-2026,Enhance crop productivity in dry regions.,Null
214,6114,Kenya,2022,2025,BTR 1,Energy,Geothermal,Geothermal Energy Tech,Advanced technology for geothermal plant operations.,Mitigation,Operations tech,2025-2028,Increase efficiency of existing plants.,Null
215,6115,Ghana,2022,2025,BTR 1,Waste,Recycling,Waste Sorting Technology,Automated waste sorting and recycling technology.,Mitigation,Processing tech,2026-2029,Improve urban waste management.,Null
216,6116,South Africa,2022,2025,BTR 1,Energy,Coal phase-out,Carbon Capture Tech,Technology for capturing emissions from industrial plants.,Mitigation,Carbon capture tech,2025-2030,Supports transition from fossil fuels.,Null
217,6117,Bangladesh,2022,2025,BTR 1,Water,Flood Resilience,Climate-Resilient Building Tech,Technology for constructing flood-resistant houses.,Adaptation,Building tech,2025-2028,Enhance housing resilience.,Null
218,6118,Thailand,2022,2025,BTR 1,Energy,Wind,Offshore Wind Installation,Technical know-how for installing offshore wind farms.,Mitigation,Installation tech,2024-2025,Feasibility study is complete.,Null
219,6119,Philippines,2022,2025,BTR 1,Coastal,Disaster Risk,Early Warning Systems,Technology for real-time monitoring and warning systems.,Adaptation,Digital tech,2024-2026,Minimize impact of severe storms.,Null
220,6120,Ethiopia,2022,2025,BTR 1,Agriculture,Climate-Smart Farming,Water-Efficient Farming Tech,Smart irrigation and water conservation technologies.,Adaptation,Water tech,2025-2028,Improve crop yields.,Null
221,6121,Senegal,2022,2025,BTR 1,Energy,Mini-grids,Mini-grid Design and Mgmt,Technology and software for mini-grid management.,Mitigation,Digital tech,2025-2027,Improve energy access in rural areas.,Null
222,6122,Morocco,2022,2025,BTR 1,Transport,Public Transit,Electric Bus Battery Tech,Battery technology for long-range electric buses.,Mitigation,Battery tech,2024-2026,Enhance efficiency of public transport.,Null
223,6123,Tunisia,2022,2025,BTR 1,Water,Wastewater Treatment,Desalination Tech,Reverse osmosis and water desalination technology.,Adaptation,Water tech,2026-2029,Improve water supply and quality.,Null
224,6124,Bolivia,2022,2025,BTR 1,Forestry,Agroforestry,Agroforestry Monitoring,GIS and remote sensing tech for agroforestry projects.,Cross-cutting,Digital tech,2024-2027,Improve monitoring of land use.,Null
225,6125,Lebanon,2022,2025,BTR 1,Energy,Solar,Solar Panel Installation Tech,Technical know-how for solar panel installation.,Mitigation,Installation tech,2024-2025,Facilitate solar panel deployment.,Null
226,6126,Jordan,2022,2025,BTR 1,Water,Water Scarcity,Leak Detection Tech,Advanced sensors and software for detecting water leaks.,Adaptation,Digital tech,2025-2026,Reduce water loss from pipes.,Null
227,6127,Costa Rica,2022,2025,BTR 1,Forestry,Forest Protection,Satellite-Based Monitoring,Satellite imagery and AI for forest monitoring.,Mitigation,Digital tech,2024-2025,Strengthen forest protection.,Null
228,6128,Rwanda,2022,2025,BTR 1,Agriculture,Soil health,Soil Carbon Measurement,Technology for measuring soil carbon sequestration.,Adaptation,Monitoring tech,2025-2027,Improve soil health and resilience.,Null
229,6129,Uganda,2022,2025,BTR 1,Energy,Off-grid Solutions,Solar Home System Tech,Solar home system components and installation know-how.,Mitigation,Technology tech,2024-2026,Increase energy access.,Null
230,6130,Zambia,2022,2025,BTR 1,Energy,Solar,Solar Mini-grid Components,Technology for building and managing solar mini-grids.,Mitigation,Technology tech,2024-2026,Provides electricity to off-grid communities.,Null